0	0	0.0
1	0	0.0
2	0	0.0
3	0	0.0
4	4	0.0016
5	148	0.0592
6	678	0.2712
7	619	0.2476
8	492	0.1968
9	265	0.106
10	119	0.0476
11	56	0.0224
12	33	0.0132
13	25	0.01
14	11	0.0044
15	6	0.0024
16	3	0.0012
17	7	0.0028
18	5	0.002
19	2	0.0008
20	3	0.0012
21	3	0.0012
22	1	0.0004
23	2	0.0008
24	0	0.0
25	0	0.0
26	0	0.0
27	0	0.0
28	0	0.0
29	0	0.0
30	3	0.0012
31	0	0.0
32	2	0.0008
33	0	0.0
34	0	0.0
35	0	0.0
36	0	0.0
37	0	0.0
38	2	0.0008
39	0	0.0
40	0	0.0
41	4	0.0016
42	1	0.0004
43	0	0.0
44	0	0.0
45	0	0.0
46	0	0.0
47	0	0.0
48	0	0.0
49	0	0.0
50	0	0.0
51	0	0.0
52	0	0.0
53	0	0.0
54	0	0.0
55	0	0.0
56	0	0.0
57	0	0.0
58	0	0.0
59	0	0.0
60	0	0.0
61	0	0.0
62	0	0.0
63	0	0.0
64	0	0.0
65	0	0.0
66	0	0.0
67	0	0.0
68	0	0.0
69	0	0.0
70	0	0.0
71	0	0.0
72	0	0.0
73	0	0.0
74	1	0.0004
75	0	0.0
76	0	0.0
77	0	0.0
78	1	0.0004
79	0	0.0
80	0	0.0
81	0	0.0
82	0	0.0
83	0	0.0
84	0	0.0
85	0	0.0
86	0	0.0
87	0	0.0
88	0	0.0
89	0	0.0
90	0	0.0
91	0	0.0
92	0	0.0
93	1	0.0004
94	0	0.0
95	0	0.0
96	0	0.0
97	0	0.0
98	0	0.0
99	0	0.0
100	0	0.0
101	0	0.0
102	1	0.0004
103	0	0.0
104	0	0.0
105	0	0.0
106	0	0.0
107	0	0.0
108	0	0.0
109	0	0.0
110	0	0.0
111	0	0.0
112	0	0.0
113	0	0.0
114	0	0.0
115	0	0.0
116	0	0.0
117	0	0.0
118	0	0.0
119	0	0.0
120	0	0.0
121	0	0.0
122	0	0.0
123	0	0.0
124	0	0.0
125	0	0.0
126	0	0.0
127	0	0.0
128	0	0.0
129	0	0.0
130	0	0.0
131	0	0.0
132	0	0.0
133	0	0.0
134	1	0.0004
135	0	0.0
136	0	0.0
137	0	0.0
138	0	0.0
139	0	0.0
140	0	0.0
141	0	0.0
142	0	0.0
143	0	0.0
144	0	0.0
145	0	0.0
146	0	0.0
147	0	0.0
148	1	0.0004
